,canon_smiles,good
566,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,0
901,C=C[C@@]1(C)CC(=O)[C@@]2(O)[C@@]3(C)[C@H](O)CCC(C)(C)[C@@H]3[C@H](O)[C@H](OC(C)=O)[C@@]2(C)O1,0
181,Cl.O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,0
1375,Cl.c1ccc2c(c1)CCCC2C1=NCCN1,0
621,COc1ccc(Cn2ccc3ccc(C(=O)NO)cc32)cc1,0
1075,CS(=O)(=O)N1CCc2c(-c3cnc(N)nc3)nc(N3CCOCC3)nc21,0
1237,CC(=O)Oc1ccccc1C(=O)O,0
1580,Nc1ccc2ncnc(NCCc3ccc(Oc4ccccc4)cc3)c2c1,0
1776,CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C=O)CCCNC(=N)N.CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C=O)CCCNC(=N)N.O=S(=O)(O)O,0
1036,NC1(Cc2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,0
296,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1,0
1469,C[N+](C)(C)CCO.[Cl-],0
461,CS(=O)(=O)OCCCCOS(C)(=O)=O,0
1252,CC[C@H](C)C(=O)O[C@@H]1C[C@H](O)C=C2C=C[C@H](C)[C@@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21.[Na+],0
1134,CCOC(=O)N1c2ccc(C(F)(F)F)cc2[C@H](N(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)C(=O)OC)C[C@H]1CC,0
377,COc1ccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)cc1CO,0
1281,CC(=O)O[C@@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,0
105,Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)OC(=O)[C@H](C)N)c(C)c34)ccc2[nH]1,0
126,COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O,0
1089,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,0
777,O=[N+]([O-])c1ncc[nH]1,0
355,COc1cc(Nc2nc3ccccc3nc2NS(=O)(=O)c2ccc(NC(=O)c3ccc(C)c(OC)c3)cc2)cc(OC)c1,0
1562,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21.Cl,0
682,Cl.O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,0
771,C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@H]1C/C=C1/C(=O)OCC1O,0
806,COc1ccc(-c2oc3c(CC=C(C)C)c(OC4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)c3c(=O)c2OC2O[C@@H](C)[C@H](O)[C@@H](O)[C@@H]2O)cc1,0
209,C[C@@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O)O[C@H]3CO)O[C@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@@H]1O,0
818,C[C@@H]1O[C@@H](Oc2c(-c3cc(O)c(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@@H](O)[C@H](O)[C@H]1O,0
140,C=CC(=O)Nc1cccc(Sc2nc(Nc3ccc(N4CCN(C)CC4)cc3)ncc2Cl)c1,0
